aX,aY,aZ,gX,gY,gZ
1.027,-0.164,0.080,-3.845,4.761,10.742

-1.390,0.630,1.401,-46.448,-310.425,273.315
-1.580,0.796,1.482,-14.526,-297.852,319.702
-2.144,0.949,1.539,21.362,-284.729,345.825
-2.549,0.982,1.628,24.536,-237.549,403.259
-3.379,1.254,2.146,-12.512,-199.097,436.951
-3.665,1.495,2.564,-22.278,-77.026,507.812
-3.761,1.548,3.437,37.537,12.146,538.208
-3.731,1.309,3.630,96.497,128.540,565.063
-3.806,1.066,3.625,7.019,452.148,600.891
-4.000,1.114,2.788,-115.112,643.982,593.323
-4.000,1.289,1.658,-250.977,1022.095,500.549
-3.997,1.289,-1.172,-256.592,1176.636,428.406
-3.996,1.406,-2.629,-245.117,1385.864,275.269
-4.000,1.823,-4.000,-231.445,1443.848,208.679
-4.000,1.683,-4.000,-255.981,1410.705,94.910
-4.000,0.273,-3.968,-375.488,1303.894,21.790
-3.971,-0.526,-3.968,-657.715,961.792,-185.669
-2.405,-1.613,-4.000,-676.941,757.568,-275.879
-1.092,-1.812,-4.000,-479.309,352.844,-317.932
0.151,-1.847,-4.000,-347.717,174.133,-272.339
-0.024,-1.857,-3.999,-218.018,21.606,-203.491
-0.735,-1.800,-4.000,58.777,-196.472,-68.420
-0.956,-1.696,-3.989,184.265,-266.113,-24.841
-1.069,-1.306,-3.605,289.246,-346.680,12.756
-0.998,-1.060,-3.255,265.137,-363.770,18.372
-0.863,-0.851,-2.940,182.678,-370.544,16.968
-0.723,-0.582,-2.435,161.926,-361.938,9.399
-0.634,-0.490,-2.179,112.000,-343.872,-23.437
-0.202,-0.263,-1.660,57.129,-347.046,-42.358
0.005,-0.199,-1.392,18.372,-332.214,-79.651
0.126,-0.255,-1.028,4.456,-321.533,-98.633
0.110,-0.304,-0.868,-61.523,-302.063,-127.686
0.014,-0.308,-0.591,-112.854,-295.593,-135.010
-0.024,-0.269,-0.479,-208.801,-290.344,-134.521
0.001,-0.182,-0.217,-235.962,-290.466,-127.991
0.030,-0.178,-0.098,-233.826,-290.161,-108.398
0.068,-0.226,0.105,-215.759,-288.330,-98.083
0.052,-0.213,0.213,-191.650,-281.677,-77.454
-0.028,-0.157,0.526,-190.918,-277.222,-66.223
-0.001,-0.131,0.681,-194.824,-264.404,-44.006
0.078,-0.067,0.731,-181.824,-253.174,-34.119
0.077,-0.079,0.775,-148.804,-239.197,-24.963
0.192,-0.070,0.839,-99.304,-198.730,-6.531
0.213,-0.102,0.890,-117.126,-170.837,4.211
0.180,-0.060,1.023,-192.688,-109.131,25.330
0.086,0.245,1.382,-220.703,-83.435,34.180
0.081,0.367,1.423,-216.125,-47.424,46.265
0.137,0.459,1.283,-179.443,-31.921,48.035
0.207,0.448,1.238,-119.507,2.502,44.250
0.413,0.487,1.130,-127.930,19.775,40.344
0.542,0.552,1.092,-160.034,53.589,29.114
0.773,0.644,1.082,-154.053,69.824,21.423
0.855,0.635,1.027,-138.062,84.290,12.634
0.910,0.609,0.932,-118.408,107.544,-5.432
0.973,0.561,0.730,-123.474,116.394,-13.428
0.990,0.543,0.654,-143.860,126.343,-25.757
1.027,0.527,0.500,-150.269,127.136,-30.029
1.022,0.516,0.431,-150.696,120.544,-34.424
1.084,0.503,0.323,-147.278,111.450,-34.546
1.091,0.477,0.281,-108.093,98.633,-32.715
1.106,0.392,0.146,-87.585,92.834,-30.396
1.111,0.345,0.103,-76.172,84.900,-27.710
1.095,0.286,0.041,-83.557,61.279,-24.536
1.100,0.274,0.008,-87.646,51.514,-23.987
1.116,0.275,-0.020,-85.999,37.354,-24.048
1.127,0.276,-0.029,-82.031,29.968,-24.902
1.133,0.270,-0.018,-66.895,12.085,-28.503
1.130,0.232,0.014,-53.650,3.418,-30.884
1.112,0.208,0.032,-25.940,-10.315,-36.133
1.081,0.154,0.069,-21.240,-16.235,-38.757
1.064,0.138,0.102,-36.194,-26.855,-44.189
1.021,0.143,0.152,-46.631,-31.189,-47.241
0.997,0.147,0.197,-40.833,-37.109,-53.589
0.976,0.135,0.255,-21.545,-38.940,-57.068
0.950,0.104,0.238,0.488,-40.649,-61.035
0.940,0.086,0.222,21.606,-39.856,-69.092
0.929,0.100,0.277,10.559,-37.354,-71.838
0.923,0.106,0.317,-35.645,-31.921,-73.059
0.934,0.075,0.333,-55.115,-29.358,-72.998
0.929,0.035,0.334,-76.050,-23.499,-74.402
0.922,-0.026,0.350,-85.388,-20.569,-75.867
0.930,-0.008,0.353,-117.126,-17.822,-78.369
0.938,0.098,0.390,-127.747,-18.860,-78.369
0.943,0.125,0.376,-100.037,-24.597,-75.378
0.934,0.061,0.341,-65.979,-27.100,-73.242
0.931,-0.014,0.336,-33.630,-28.320,-70.984
0.945,-0.130,0.339,-13.611,-28.809,-65.491
0.945,-0.153,0.362,-23.132,-29.358,-62.866
0.940,-0.168,0.388,-39.124,-32.898,-57.678
0.956,-0.182,0.390,-36.621,-35.461,-54.626
0.954,-0.192,0.384,-21.179,-39.307,-47.668
0.987,-0.223,0.398,-13.550,-40.588,-44.006
0.982,-0.245,0.406,-12.817,-43.091,-36.804
0.955,-0.298,0.395,-22.400,-44.495,-33.264
0.939,-0.302,0.406,-31.982,-48.767,-27.039
0.912,-0.306,0.444,-28.076,-51.514,-23.865
0.903,-0.329,0.450,-22.705,-56.641,-16.357
0.898,-0.374,0.449,-25.391,-58.838,-12.268
0.915,-0.363,0.472,-37.659,-63.721,-2.686
0.935,-0.390,0.482,-42.053,-66.711,2.930
0.934,-0.367,0.497,-47.974,-72.937,15.808
0.889,-0.323,0.563,-45.654,-75.928,22.888
0.857,-0.311,0.586,-18.921,-80.872,36.499
0.790,-0.321,0.610,-1.953,-82.336,42.175
0.765,-0.336,0.617,8.240,-83.252,46.875
0.724,-0.325,0.608,-2.319,-85.388,53.467
0.701,-0.288,0.600,-15.930,-87.463,56.030
0.680,-0.236,0.603,-32.471,-92.773,60.547
0.617,-0.154,0.625,-33.569,-95.276,62.561
0.575,-0.123,0.652,-26.184,-99.915,66.467
0.520,-0.081,0.687,-18.250,-101.807,67.749
0.499,-0.077,0.700,-5.859,-105.041,67.993
0.465,-0.068,0.710,-5.859,-106.506,67.200
0.457,-0.034,0.700,-18.555,-107.971,65.430
0.456,0.050,0.716,-27.344,-108.337,65.063
0.442,0.088,0.750,-33.813,-108.826,65.186
0.408,0.145,0.823,-30.090,-109.558,65.063
0.407,0.166,0.842,-24.841,-110.596,64.697
0.413,0.180,0.865,-16.479,-111.084,64.087

-1.297,0.854,1.131,38.696,-122.009,263.489
-1.457,0.840,1.237,98.267,-115.295,301.758
-1.815,0.668,1.547,124.207,-107.849,313.049
-2.016,0.533,1.785,140.503,-71.716,314.941
-2.536,0.263,2.490,121.277,-34.607,304.871
-2.840,0.213,3.047,30.212,107.178,266.541
-3.365,0.347,3.897,-9.277,220.886,241.699
-3.675,0.377,3.986,-26.245,360.779,214.966
-3.963,0.318,3.820,-54.749,688.415,162.842
-4.000,0.274,2.494,-78.857,858.948,136.414
-4.000,0.277,1.356,-74.036,1153.564,93.994
-3.992,0.453,-1.845,-55.176,1261.169,84.900
-3.998,0.745,-3.560,35.278,1397.827,107.422
-4.000,0.924,-4.000,96.436,1399.353,139.893
